gpu_type,duration,gpu_count,usd_per_gpu_hr,benchmark_price,delta_pct
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 month,256,1.4,1.7,-0.17647058823529416
H100,1 month,16,1.4,1.5,-0.06666666666666672
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 day,8,1.4,1.49,-0.06040268456375844
H200,1 day,32,1.4,1.49,-0.06040268456375844
H200,1 day,128,1.4,1.49,-0.06040268456375844
H200,1 day,16,1.4,1.49,-0.06040268456375844
H200,1 month,8,1.4,1.5,-0.06666666666666672
H200,1 month,32,1.4,1.5,-0.06666666666666672
H200,1 month,128,1.4,1.5,-0.06666666666666672
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 month,256,1.4,1.7,-0.17647058823529416
H100,1 month,16,1.4,1.5,-0.06666666666666672
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 day,8,1.4,1.49,-0.06040268456375844
H200,1 day,32,1.4,1.49,-0.06040268456375844
H200,1 day,128,1.4,1.49,-0.06040268456375844
H200,1 day,16,1.4,1.49,-0.06040268456375844
H200,1 month,8,1.4,1.5,-0.06666666666666672
H200,1 month,32,1.4,1.5,-0.06666666666666672
H200,1 month,128,1.4,1.5,-0.06666666666666672
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 month,256,1.4,1.7,-0.17647058823529416
H100,1 month,16,1.4,1.5,-0.06666666666666672
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 day,8,1.4,1.49,-0.06040268456375844
H200,1 day,32,1.4,1.49,-0.06040268456375844
H200,1 day,128,1.4,1.49,-0.06040268456375844
H200,1 day,16,1.4,1.49,-0.06040268456375844
H200,1 month,8,1.4,1.5,-0.06666666666666672
H200,1 month,32,1.4,1.5,-0.06666666666666672
H200,1 month,128,1.4,1.5,-0.06666666666666672
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 month,256,1.4,1.7,-0.17647058823529416
H100,1 month,16,1.4,1.5,-0.06666666666666672
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 day,8,1.4,1.49,-0.06040268456375844
H200,1 day,32,1.4,1.49,-0.06040268456375844
H200,1 day,128,1.4,1.49,-0.06040268456375844
H200,1 day,16,1.4,1.49,-0.06040268456375844
H200,1 month,8,1.4,1.5,-0.06666666666666672
H200,1 month,32,1.4,1.5,-0.06666666666666672
H200,1 month,128,1.4,1.5,-0.06666666666666672
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 month,256,1.4,1.7,-0.17647058823529416
H100,1 month,16,1.4,1.5,-0.06666666666666672
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 day,8,1.4,1.49,-0.06040268456375844
H200,1 day,32,1.4,1.49,-0.06040268456375844
H200,1 day,128,1.4,1.49,-0.06040268456375844
H200,1 day,16,1.4,1.49,-0.06040268456375844
H200,1 month,8,1.4,1.5,-0.06666666666666672
H200,1 month,32,1.4,1.5,-0.06666666666666672
H200,1 month,128,1.4,1.5,-0.06666666666666672
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
